Bin	Full.Model	Reduced.Model	Stein.Scott.Similarity	Stein.Scott.Similarity.Nist	DFT.Correlation	DWT.Correlation	Weighted.Cosine.Correlation	Inner.Product.Distance	Truth.Annotation
UDN_BG_A_C_Biorec353658_M_023 & 69	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 92	2	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 95	1	3	4	2	1	1	2	6	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 108	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Biorec353658_M_023 & 113	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 12	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 15	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 17	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 21	24	27	16	18	18	18	19	20	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 27	36	6	16	25	24	37	37	38	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 28	2	3	3	2	3	2	3	9	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 30	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 32	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 34	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 36	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 38	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 39	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 41	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 44	1	1	1	1	1	1	1	8	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 45	1	1	1	1	2	2	2	6	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 49	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 52	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 53	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 56	1	1	5	5	6	3	6	7	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 59	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 62	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 68	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 69	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 92	3	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 95	2	5	5	6	6	5	2	21	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 96	1	2	2	2	2	2	2	7	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 110	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 119	18	12	2	2	19	13	16	21	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 125	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo001_pool_M_030 & 134	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 13	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 14	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 17	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 19	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 28	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 29	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 33	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 35	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 37	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 39	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 40	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 44	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 47	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 55	1	1	1	1	1	1	1	6	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 56	1	1	1	1	1	1	2	4	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 61	1	1	1	1	1	1	1	11	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 64	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 68	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 71	1	1	5	5	7	7	6	7	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 75	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 78	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 86	1	2	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 87	1	1	1	3	5	4	3	28	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 109	2	2	38	27	22	15	21	25	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 110	5	1	6	6	5	5	3	16	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 111	1	1	2	2	2	2	2	7	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 126	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 132	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo011_pool_M_001 & 137	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 14	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 17	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 21	1	1	1	1	1	1	2	3	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 29	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 30	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 35	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 37	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 39	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 40	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 41	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 42	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 44	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 47	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 48	1	1	1	1	1	1	2	5	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 54	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 58	1	4	5	5	7	7	8	7	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 60	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 64	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 71	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 72	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 100	4	1	1	1	2	2	1	3	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 102	3	1	6	6	2	3	6	9	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 115	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 120	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 124	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo014_pool_M_029 & 129	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 9	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 10	2	5	4	4	3	3	3	4	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 12	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 16	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 20	24	28	12	18	17	19	19	19	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 26	29	13	20	28	36	38	38	38	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 27	2	1	2	1	1	2	2	2	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 32	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 34	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 36	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 38	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 40	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 41	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 46	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 47	1	1	1	1	1	1	2	2	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 54	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 56	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 58	8	1	5	5	7	7	7	7	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 60	1	1	2	2	1	1	2	5	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 63	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 70	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 71	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 82	3	3	5	4	3	3	4	6	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 95	2	4	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 98	1	5	6	6	2	3	5	9	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 110	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 115	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo015_pool_M_004 & 119	1	1	1	1	2	2	1	4	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 16	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 17	2	2	2	2	2	2	2	3	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 20	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 25	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 37	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 40	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 43	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 45	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 47	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 48	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 49	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 53	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 59	1	1	1	1	2	1	1	3	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 60	1	1	1	1	2	2	2	6	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 63	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 66	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 68	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 70	1	1	5	5	5	4	7	8	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 72	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 76	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 83	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 84	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 91	1	1	1	1	3	3	4	5	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 104	2	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 107	1	1	6	6	2	3	2	15	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 108	1	3	2	2	3	2	2	4	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 119	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 124	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo025_pool_M_006 & 125	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 14	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 18	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 21	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 24	20	22	17	19	19	20	19	20	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 30	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 32	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 33	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 35	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 37	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 38	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 39	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 43	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 45	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 47	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 51	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 52	1	1	2	1	2	2	2	6	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 56	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 61	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 64	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 66	1	1	5	5	6	6	7	7	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 69	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 73	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 81	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 82	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 105	2	1	1	1	3	3	1	4	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 107	2	2	6	6	6	6	6	21	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 108	1	1	2	2	2	2	2	7	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 125	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo034_pool_M_007 & 127	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 12	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 13	3	3	3	3	3	3	3	3	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 17	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 19	1	3	1	1	6	6	6	6	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 33	13	20	23	23	32	14	26	18	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 35	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 43	12	3	3	3	9	7	6	7	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 45	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 48	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 49	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 50	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 51	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 53	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 55	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 59	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 60	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 65	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 68	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 69	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 71	1	8	5	4	7	6	7	7	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 73	1	1	1	1	1	1	1	5	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 77	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 83	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 84	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 107	2	1	1	1	2	2	2	3	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 110	1	1	6	6	4	4	2	10	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 120	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 125	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo044_pool_M_002 & 129	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 9	8	6	7	8	6	5	7	3	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 11	1	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 12	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 13	2	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 24	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 27	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 37	1	2	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 39	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 41	2	1	1	1	1	1	1	2	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 42	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 43	1	1	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 44	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 45	1	1	1	1	1	1	1	3	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 46	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 49	1	2	1	1	1	1	1	4	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 50	1	1	1	1	1	1	2	5	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 54	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 58	1	1	1	1	1	1	1	1	True.Positive
UDN_BG_A_C_Mayo049_pool_M_025 & 59	1	1	1	1	1	1	1	1	True.Positive
